id,stockid_i,date1,time1,lnA_B,close_1,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
157,GBPAUDpro,2016.02.12,22:50,2.04409,2.04409,0.49965177247,2.044093000000001,0.0034369100228330775,100,0.0005,0.9,0,0,0,0
158,GBPAUDpro,2016.02.12,22:55,2.04582,2.04582,0.68894265732,2.044150400000001,0.0033876054294227492,100,0.0005,0.9,0,0,0,0
159,GBPAUDpro,2016.02.12,23:00,2.04503,2.04503,0.595048555576,2.0442275000000008,0.0033360865523616797,100,0.0005,0.9,0,0,0,0
160,GBPAUDpro,2016.02.12,23:05,2.04246,2.04246,0.286193241955,2.0443035000000007,0.003265488771867375,100,0.0005,0.9,0,0,0,0
161,GBPAUDpro,2016.02.12,23:10,2.03857,2.03857,0.0346784614333,2.0443580000000012,0.003187070787105326,100,0.0005,0.9,0,0,0,0
162,GBPAUDpro,2016.02.12,23:15,2.03842,2.03842,,,,100,0.0005,0.9,0,0,0,0
163,GBPAUDpro,2016.02.12,23:20,2.03956,2.03956,,,,100,0.0005,0.9,0,0,0,0
164,GBPAUDpro,2016.02.12,23:25,2.04298,2.04298,,,,100,0.0005,0.9,0,0,0,0
165,GBPAUDpro,2016.02.12,23:30,2.04526,2.04526,,,,100,0.0005,0.9,0,0,0,0
166,GBPAUDpro,2016.02.12,23:35,2.04473,2.04473,,,,100,0.0005,0.9,0,0,0,0
167,GBPAUDpro,2016.02.12,23:40,2.04399,2.04399,,,,100,0.0005,0.9,0,0,0,0
168,GBPAUDpro,2016.02.12,23:45,2.04427,2.04427,,,,100,0.0005,0.9,0,0,0,0
169,GBPAUDpro,2016.02.12,23:50,2.04184,2.04184,,,,100,0.0005,0.9,0,0,0,0
170,GBPAUDpro,2016.02.12,23:55,2.04132,2.04132,,,,100,0.0005,0.9,0,0,0,0
171,GBPAUDpro,2016.02.13,00:00,2.03982,2.03982,,,,100,0.0005,0.9,0,0,0,0
172,GBPAUDpro,2016.02.13,00:05,2.03904,2.03904,,,,100,0.0005,0.9,0,0,0,0
173,GBPAUDpro,2016.02.13,00:10,2.03822,2.03822,,,,100,0.0005,0.9,0,0,0,0
174,GBPAUDpro,2016.02.13,00:15,2.03738,2.03738,,,,100,0.0005,0.9,0,0,0,0
175,GBPAUDpro,2016.02.13,00:20,2.03773,2.03773,,,,100,0.0005,0.9,0,0,0,0
176,GBPAUDpro,2016.02.13,00:25,2.03786,2.03786,,,,100,0.0005,0.9,0,0,0,0
177,GBPAUDpro,2016.02.13,00:30,2.03721,2.03721,,,,100,0.0005,0.9,0,0,0,0
178,GBPAUDpro,2016.02.13,00:35,2.0369,2.0369,,,,100,0.0005,0.9,0,0,0,0
179,GBPAUDpro,2016.02.13,00:40,2.03612,2.03612,,,,100,0.0005,0.9,0,0,0,0
180,GBPAUDpro,2016.02.13,00:45,2.03637,2.03637,,,,100,0.0005,0.9,0,0,0,0
181,GBPAUDpro,2016.02.13,00:50,2.03715,2.03715,,,,100,0.0005,0.9,0,0,0,0
182,GBPAUDpro,2016.02.13,00:55,2.03682,2.03682,,,,100,0.0005,0.9,0,0,0,0
183,GBPAUDpro,2016.02.13,01:00,2.03839,2.03839,,,,100,0.0005,0.9,0,0,0,0
184,GBPAUDpro,2016.02.13,01:05,2.03868,2.03868,,,,100,0.0005,0.9,0,0,0,0
185,GBPAUDpro,2016.02.13,01:10,2.03858,2.03858,,,,100,0.0005,0.9,0,0,0,0
